env_id,regime,method,seed,auc,final_score,wall_hours
cheetah-run,clean,adaptive_rhs,15,795.478,905.613,1.6339
cheetah-run,chaos,adaptive_rhs,15,383.493,540.944,2.1908
quadruped-run,clean,adaptive_rhs,15,717.101,923.768,2.2486
quadruped-run,chaos,adaptive_rhs,15,498.7,810.007,2.5639
cheetah-run,clean,paper_horizon,15,739.845,850.736,1.4961
cheetah-run,chaos,paper_horizon,15,382.698,528.19,1.9486
quadruped-run,clean,paper_horizon,15,613.893,910.955,1.9872
quadruped-run,chaos,paper_horizon,15,496.834,576.135,2.4244
hopper-hop,clean,paper_horizon,15,316.304,559.276,1.7308
hopper-hop,clean,adaptive_rhs,15,335.303,357.923,1.8725
hopper-hop,chaos,paper_horizon,15,82.5975,158.23,2.1658
finger-turn_hard,clean,paper_horizon,15,776.485,884.6,1.4978
hopper-hop,chaos,adaptive_rhs,15,95.6936,138.971,2.5467
finger-turn_hard,clean,adaptive_rhs,15,796.12,928.9,1.6033
finger-turn_hard,chaos,paper_horizon,15,500.502,510.1,1.9692
fish-swim,clean,paper_horizon,15,534.269,645.431,1.3894
finger-turn_hard,chaos,adaptive_rhs,15,537.01,753.45,2.0622
fish-swim,clean,adaptive_rhs,15,486.653,543.236,1.5189
fish-swim,chaos,paper_horizon,15,,,1.8586
cartpole-swingup,clean,paper_horizon,15,776.273,864.486,1.3714
fish-swim,chaos,adaptive_rhs,15,,,1.8678
cartpole-swingup,clean,adaptive_rhs,15,788.372,879.807,1.8614
cartpole-swingup,chaos,paper_horizon,15,741.734,859.191,1.8119
quadruped-run,clean,paper_horizon,1,684.146,881.836,1.9267
cartpole-swingup,chaos,adaptive_rhs,15,734.349,860.571,2.1781
quadruped-run,clean,adaptive_rhs,1,689.827,913.604,2.1294
cheetah-run,clean,paper_horizon,1,754.592,926.154,1.5064
quadruped-run,chaos,paper_horizon,1,474.717,660.833,2.4253
cheetah-run,clean,adaptive_rhs,1,767.994,946.552,1.6178
quadruped-run,chaos,adaptive_rhs,1,493.421,732.885,2.6400
cheetah-run,chaos,paper_horizon,1,358.815,354.477,1.9397
cheetah-run,chaos,adaptive_rhs,1,368.066,501.057,2.3636
hopper-hop,clean,paper_horizon,1,324.83,542.805,1.7208
hopper-hop,clean,adaptive_rhs,1,360.487,570.146,1.8286
hopper-hop,chaos,paper_horizon,1,125.374,166.819,2.1450
finger-turn_hard,clean,paper_horizon,1,656.963,772.7,1.4947
finger-turn_hard,clean,adaptive_rhs,1,678.745,918.8,1.6567
hopper-hop,chaos,adaptive_rhs,1,186.392,278.097,2.4625
finger-turn_hard,chaos,paper_horizon,1,391.775,651,1.9503
fish-swim,clean,paper_horizon,1,483.139,648.558,1.4044
finger-turn_hard,chaos,adaptive_rhs,1,490.72,448.7,2.0511
fish-swim,clean,adaptive_rhs,1,495.523,658.269,1.5214
fish-swim,chaos,paper_horizon,1,,,1.8300
fish-swim,chaos,adaptive_rhs,1,,,1.8769
cartpole-swingup,clean,paper_horizon,1,786.937,882.118,1.3750
cartpole-swingup,clean,adaptive_rhs,1,776.283,864.924,1.9489
cartpole-swingup,chaos,paper_horizon,1,733.879,814.092,1.7642
cartpole-swingup,chaos,adaptive_rhs,1,754.421,816.386,2.0417
quadruped-run,clean,paper_horizon,7,671.915,879.293,1.9550
quadruped-run,clean,adaptive_rhs,7,589.781,839.896,2.0992
quadruped-run,chaos,paper_horizon,7,461.67,807.768,2.4144
cheetah-run,clean,paper_horizon,7,751.138,943.961,1.5033
cheetah-run,clean,adaptive_rhs,7,803.889,942.65,1.6353
quadruped-run,chaos,adaptive_rhs,7,477.902,722.116,2.5597
cheetah-run,chaos,paper_horizon,7,408.989,515.359,1.9381
hopper-hop,clean,paper_horizon,7,406.824,514.885,1.7144
cheetah-run,chaos,adaptive_rhs,7,394.674,595.944,2.1036
hopper-hop,clean,adaptive_rhs,7,343.55,469.663,1.8572
hopper-hop,chaos,paper_horizon,7,185.452,292.399,2.1378
finger-turn_hard,clean,paper_horizon,7,722.615,818.2,1.5031
finger-turn_hard,clean,adaptive_rhs,7,688.348,916.95,1.6036
hopper-hop,chaos,adaptive_rhs,7,111.789,159.09,2.5819
finger-turn_hard,chaos,paper_horizon,7,566.825,580.45,1.9353
fish-swim,clean,paper_horizon,7,488.844,723.557,1.4208
finger-turn_hard,chaos,adaptive_rhs,7,503.427,838.75,2.2081
fish-swim,clean,adaptive_rhs,7,496.249,674.227,1.5108
fish-swim,chaos,paper_horizon,7,,,1.8397
cartpole-swingup,clean,paper_horizon,7,786.9,878.423,1.3653
fish-swim,chaos,adaptive_rhs,7,,,1.9403
cartpole-swingup,clean,adaptive_rhs,7,776.177,882.384,1.6233
cartpole-swingup,chaos,paper_horizon,7,747.974,856.469,1.7828
cartpole-swingup,chaos,adaptive_rhs,7,758.454,861.539,2.1478
